parameter_id,IMPC_DXA_006_001
gene_accession_id,MGI:1336200
parameter_name,Body length
analysis_id,xb07w6v8nb5bm53
pvalue,0.6162367
mouse_strain,C57BL
gene_symbol,Hpca
mouse_life_stage,Late adult
