parameter_name,HDL-cholesterol
analysis_id,a1j6eu73622i424
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.7990791
gene_accession_id,MGI:1920638
parameter_id,IMPC_CBC_016_001
gene_symbol,Bpifa3
