mouse_strain,129SV
parameter_name,Thyroxine
pvalue,0.498256
parameter_id,IMPC_CBC_053_001
analysis_id,8h3mdo1843x0pbu
mouse_life_stage,Early adult
gene_accession_id,MGI:2385884
gene_symbol,Ddx27
