analysis_id,q4h2t8has1k5vy0
gene_symbol,Cpa3
pvalue,0.1574691
gene_accession_id,MGI:88479
parameter_name,CD103+ CD11b-low cDC - % of CD45+
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_IMM_131_001
