analysis_id,8qte1e9omi9gd70
pvalue,0.955065
gene_symbol,Bach2
parameter_name,Center distance travelled
gene_accession_id,MGI:894679
mouse_strain,C57BL
parameter_id,JAX_OFD_014_001
mouse_life_stage,Early adult
