gene_symbol,Gpa33
parameter_id,IMPC_CBC_053_001
gene_accession_id,MGI:1891703
pvalue,1.187381
analysis_id,1dlw160t9n3n53o
parameter_name,Thyroxine
mouse_strain,C57BL
mouse_life_stage,Early adult
