analysis_id,86d912d9h054a34
mouse_strain,C57BL
parameter_name,KLRG1+ CD4- NKT cells - % of CD4- NKT cells
parameter_id,MGP_IMM_028_001
mouse_life_stage,Early adult
pvalue,0.2103075
gene_symbol,Lpgat1
gene_accession_id,MGI:2446186
