analysis_id,hi4h916x5ys05y8
mouse_life_stage,Early adult
gene_accession_id,MGI:1346344
mouse_strain,B6J
parameter_name,KLRG1+ Treg cells - % of CD45+
pvalue,0.7315744
parameter_id,MGP_IMM_079_001
gene_symbol,Nr0b2
