analysis_id,c7c84a422t6g269
gene_symbol,Nanp
mouse_life_stage,E18.5
parameter_name,Body Weight
mouse_strain,C57BL
pvalue,0.2614146
parameter_id,M-G-P_012_001_005
gene_accession_id,MGI:1914561
