Analysis_id,45hq63f18j60518
Parameter_id,JAXLA_DXA_009_001
Mouse_life_stage,Early adult
gene_accession_id,MGI:1332236
Gene_symbol,Cds2
mouse_strain,129SV
parameter_name,Fat/Body weight
pvalue,0.2091313
