gene_symbol,Traf6
parameter_name,Blood Vessel Morphology
parameter_id,IMPC_GEO_011_001
mouse_life_stage,Early adult
analysis_id,wx11vce13v7c618
gene_accession_id,MGI:108072
mouse_strain,C57BL
pvalue,0.6058812
