parameter_name,Hindlimbs - shape
parameter_id,JAXLA_CSD_021_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Zc2hc1a
analysis_id,6kxa8azqr53x59g
pvalue,0.5525693
gene_accession_id,MGI:1914556
