gene_symbol,Bdh2
mouse_life_stage,Early adult
gene_accession_id,MGI:1917022
pvalue,0.5960168
parameter_id,MGP_IMM_112_001
analysis_id,k58fsf681ee7260
parameter_name,Follicular B cells - % of CD45+
mouse_strain,C57BL
