parameter_id,HRWLLA_CBC_014_001
mouse_life_stage,Early adult
gene_accession_id,MGI:3588214
analysis_id,ah4pi1oq8cr9lq7
parameter_name,Alkaline phosphatase
pvalue,0.3156063
mouse_strain,C57BL
gene_symbol,Rufy4
