gene_symbol,Bdh2
parameter_name,KLRG1+ mature NK cell percentage
pvalue,0.2229321
mouse_strain,C57BL
gene_accession_id,MGI:1917022
parameter_id,MGP_PBI_011_001
analysis_id,b2abt7vhc869y9u
mouse_life_stage,Early adult
