parameter_name,Whole arena resting time
analysis_id,xq90113isg09ok2
pvalue,1.424441
mouse_life_stage,E12.5
parameter_id,ESLIM_007_001_003
gene_accession_id,MGI:95835
gene_symbol,Hspa5
mouse_strain,C57BL
