analysis_id,084ip8466x20bq7
pvalue,0.7547027
parameter_id,IMPC_EYE_092_002
parameter_name,Retina (combined)
gene_accession_id,MGI:891989
gene_symbol,Npbwr1
mouse_life_stage,Early adult
mouse_strain,C57BL
