analysis_id,2drh286575j524h
parameter_name,Glucose
parameter_id,IMPC_CBC_018_001
gene_accession_id,MGI:88328
gene_symbol,Tnfsf8
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.6139666
