gene_symbol,Cd52
mouse_life_stage,Early adult
gene_accession_id,MGI:1346088
analysis_id,r4x64e8w2tt736o
parameter_name,Activity (body position)
parameter_id,IMPC_CSD_029_001
pvalue,0.4581594
mouse_strain,C57BL
