gene_symbol,Etfdh
analysis_id,wors21jv8gcu939
gene_accession_id,MGI:106100
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,M-G-P_009_001_003
parameter_name,Body weight
pvalue,0.963802
