gene_symbol,Opn3
pvalue,0.7949351
parameter_id,JAX_OFD_021_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1338022
parameter_name,Number of rears - total
analysis_id,7hyqo8c0rv43454
mouse_strain,C57BL
