parameter_name,Calcium
parameter_id,HMGULA_CBC_009_001
pvalue,0.5499013
mouse_life_stage,E18.5
analysis_id,t2tkx5jt54i53d9
gene_symbol,Nanp
mouse_strain,C57BL
gene_accession_id,MGI:1914561
