parameter_id,CCP_LFO_001_001
pvalue,0.2215966
gene_accession_id,MGI:1276578
mouse_life_stage,Early adult
analysis_id,s433i8wq860nef6
parameter_name,Weight
mouse_strain,C57BL
gene_symbol,Gfi1b
