analysis_id,v132k1nqi53d7r9
parameter_name,Blood Vessel Morphology
parameter_id,IMPC_GEO_011_001
gene_symbol,Mov10
gene_accession_id,MGI:97054
pvalue,0.3322035
mouse_strain,C57BL
mouse_life_stage,Early adult
