analysis_id,rp91e7wq1ilu83z
gene_accession_id,MGI:1915524
pvalue,0.5378714
parameter_name,Body Weight
mouse_life_stage,Early adult
parameter_id,M-G-P_012_001_005
gene_symbol,Toporsl
mouse_strain,C57BL
