analysis_id,8m6evgx9fj1vcco
gene_symbol,Snrpb2
parameter_name,CD4+ alpha beta T cell percentage
pvalue,0.8131579
parameter_id,MGP_PBI_003_001
mouse_strain,C57BL
gene_accession_id,MGI:104805
mouse_life_stage,Early adult
