analysis_id,4k105nansqo8b52
parameter_id,MGP_MLN_093_001
pvalue,0.9963367
gene_accession_id,MGI:99501
mouse_strain,C57BL
mouse_life_stage,E12.5
gene_symbol,Fgb
parameter_name,KLRG1+ NK cells - % of CD45+
