analysis_id,ro1r3xn4352o2y7
pvalue,0.0896766
gene_symbol,Rnf114
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_IMM_130_001
parameter_name,CD11b-low cDC - % of CD45+
gene_accession_id,MGI:1933159
