gene_symbol,Duoxa2
pvalue,0.9960315
parameter_id,ESLIM_011_001_002
mouse_life_stage,Early adult
analysis_id,3m92zvoj0j365a0
gene_accession_id,MGI:1914061
mouse_strain,C57BL
parameter_name,PP1 startle magnitude
