gene_symbol,Npbwr1
analysis_id,jg138lm3o4414mw
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.7122448
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
parameter_id,MGP_IMM_006_001
gene_accession_id,MGI:891989
