analysis_id,1wod8923sj46l0i
gene_accession_id,MGI:2443129
parameter_id,MGP_MLN_021_001
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.1758852
parameter_name,KLRG1+ gd T cells - % of gd T cells
gene_symbol,Golm2
