parameter_name,Body weight
gene_symbol,Lcn2
pvalue,0.2591916
gene_accession_id,MGI:96757
parameter_id,M-G-P_009_001_003
analysis_id,625p03c3zvctr3c
mouse_strain,C57BL
mouse_life_stage,Early adult
