analysis_id,m2i1weqoxjmw1eh
parameter_name,Shape of vertebrae
pvalue,0.6162531
gene_symbol,Fgb
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_XRY_018_001
gene_accession_id,MGI:99501
