analysis_id,jo7y567p2l1397i
parameter_id,MGP_IMM_089_001
pvalue,0.5063121
gene_accession_id,MGI:99501
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,KLRG1+ gd T cells - % of CD45+
gene_symbol,Fgb
