analysis_id,fm29fjj9m3lknc1
mouse_life_stage,Early adult
parameter_name,BMC/Body weight
pvalue,0.2060797
parameter_id,HRWLLA_DXA_007_001
gene_accession_id,MGI:2135738
mouse_strain,C57BL
gene_symbol,Abo
