analysis_id,2309s344zw1qerm
mouse_life_stage,Early adult
gene_accession_id,MGI:105073
parameter_id,MGP_IMM_079_001
gene_symbol,Tnni1
parameter_name,KLRG1+ Treg cells - % of CD45+
pvalue,0.5325796
mouse_strain,C57BL
