analysis_id,9421x79a9o4mswp
gene_accession_id,MGI:1917604
gene_symbol,Secisbp2l
mouse_life_stage,Early adult
pvalue,0.6499972
parameter_id,IMPC_CSD_016_001
mouse_strain,C57BL
parameter_name,Coat - hair texture / appearance - abdomen
