analysis_id,90zxbr4zn6bq9ca
parameter_name,Resting CD8+ T cells - % of CD8+
gene_symbol,Trp53rkb
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1914050
pvalue,0.4538608
parameter_id,MGP_MLN_014_001
