analysis_id,w2i10qs5701716l
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Total ab T cells - % of CD45+
pvalue,0.1948442
parameter_id,MGP_IMM_070_001
gene_symbol,Ssr2
gene_accession_id,MGI:1913506
