gene_symbol,Golm2
parameter_id,IMPC_GPP_004_001
mouse_life_stage,Early adult
gene_accession_id,MGI:2443129
analysis_id,13bb815aa8o4r2y
pvalue,0.9917734
parameter_name,Placenta Size
mouse_strain,C57BL
