analysis_id,2bq56z6y7890jw9
pvalue,0.7477328
mouse_strain,C57BL
gene_symbol,AU040320
gene_accession_id,MGI:2140475
parameter_name,Skull shape
mouse_life_stage,Late adult
parameter_id,CCP_XRY_001_001
