gene_symbol,Marchf7
pvalue,0.6449222
parameter_name,Latency to first transition into dark
parameter_id,IMPC_LDT_006_001
gene_accession_id,MGI:1931053
analysis_id,8l5xxms12162n3d
mouse_strain,C52BL
mouse_life_stage,Early adult
