parameter_name,Whole arena average speed
pvalue,0.9297701
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Alkbh3
parameter_id,JAX_OFD_009_001
gene_accession_id,MGI:1916363
analysis_id,7sx1o5151p0as45
