analysis_id,2d9h755hb90v991
gene_accession_id,MGI:95457
mouse_life_stage,E15.5
parameter_name,Resting NK cells - % of NK cells
gene_symbol,Mecom
mouse_strain,C57BL
parameter_id,MGP_MLN_033_001
pvalue,0.4728478
