parameter_id,UCDLA_EYE_017_001
gene_accession_id,MGI:95457
analysis_id,78037d60sqc6k39
mouse_life_stage,E12.5
gene_symbol,Mecom
mouse_strain,C57BL
parameter_name,Lens Opacity
pvalue,0.1362629
