parameter_name,Neutrophil percentage
pvalue,0.9236962
analysis_id,bm0198ye8xdk667
parameter_id,MGP_PBI_019_001
gene_accession_id,MGI:2441730
gene_symbol,Tbl1xr1
mouse_strain,C57BL
mouse_life_stage,Late adult
