parameter_name,BMC/Body weight
mouse_strain,C57BL
pvalue,0.1799691
gene_symbol,Slc30a4
parameter_id,HRWLLA_DXA_007_001
analysis_id,5q21t08f9a9vc73
mouse_life_stage,Early adult
gene_accession_id,MGI:1345282
