parameter_name,B cell percentage
gene_symbol,Rab3gap2
parameter_id,MGP_PBI_014_001
analysis_id,h03s460lzd84174
gene_accession_id,MGI:1916043
pvalue,0.4550688
mouse_strain,C57BL
mouse_life_stage,Early adult
