analysis_id,f63e58840h0s3v5
parameter_id,MGP_PBI_002_001
gene_symbol,WARS2
pvalue,0.8409448
gene_accession_id,MGI:1917810
parameter_name,Alpha beta T cell percentage
mouse_life_stage,Early adult
mouse_strain,C57BL
