mouse_strain,B6J
pvalue,0.1511517
mouse_life_stage,Early adult
parameter_id,IMPC_GEL_060_001
parameter_name,Neural tube morphology
gene_accession_id,MGI:1346344
analysis_id,ilh424fvivp58tx
gene_symbol,Nr0b2
