gene_symbol,Fam163a
parameter_name,Mean-cell-volume
gene_accession_id,MGI:3618859
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.06320015
analysis_id,d99s28d6v075747
parameter_id,M-G-P_016_001_005
