parameter_id,HMGULA_DYS_024_001
gene_accession_id,MGI:2446274
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,u27n638w993r3zs
pvalue,0.1324108
parameter_name,Vibrissae - appearance
gene_symbol,Frmpd1
