gene_symbol,Wars2
parameter_name,Left total retinal thickness
mouse_strain,C57BL
mouse_life_stage,E12.5
analysis_id,52f62536zc73i71
gene_accession_id,MGI:1917810
parameter_id,IMPC_EYE_068_001
pvalue,0.4267578
