analysis_id,45i4t10f633h42l
parameter_id,IMPC_IMM_071_001
parameter_name,MZB (CD21/35 high)
gene_accession_id,MGI:1917604
gene_symbol,Secisbp2l
pvalue,0.1628357
mouse_life_stage,Late adult
mouse_strain,C57BL
