parameter_name,Glucose
gene_accession_id,MGI:108072
pvalue,0.2156553
gene_symbol,Traf6
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,90r259t22hgo23i
parameter_id,IMPC_CBC_018_001
