parameter_name,Periphery average speed
gene_accession_id,MGI:1346088
pvalue,0.5770504
analysis_id,32p418110g8yfd9
parameter_id,ESLIM_007_001_009
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Cd52
