parameter_id,MGP_MLN_031_001
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.4686171
parameter_name,Total NK cells - % of CD45+
analysis_id,0kwm04ww8cc5184
gene_symbol,Inpp1
gene_accession_id,MGI:104848
