analysis_id,o6de109t1t3qy8y
mouse_strain,C57BL
gene_symbol,Slx4ip
pvalue,0.530958
gene_accession_id,MGI:1921493
parameter_id,IMPC_OFD_009_001
mouse_life_stage,Early adult
parameter_name,Whole arena average speed
