parameter_id,HRWLLA_OFD_017_001
parameter_name,Center average speed
pvalue,0.07042079
analysis_id,8nuv221pl8ao635
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Tbl1xr1
gene_accession_id,MGI:2441730
