analysis_id,27234t4it31ll12
gene_accession_id,MGI:1934811
pvalue,0.330435
mouse_life_stage,Early adult
gene_symbol,Nucks1
parameter_name,Distance travelled - total
mouse_strain,C52BL
parameter_id,JAXLA_OFD_020_001
