gene_symbol,Bdh2
pvalue,0.2783352
gene_accession_id,MGI:1917022
mouse_life_stage,Early adult
parameter_name,NK Subsets (Q2)
mouse_strain,C57BL
parameter_id,IMPC_IMM_055_001
analysis_id,ahb3y81781t4j0s
