parameter_name,Eye
analysis_id,ab481l2f3kd6823
gene_accession_id,MGI:1914437
parameter_id,M-G-P_013_001_001
mouse_life_stage,Early adult
pvalue,0.1601373
gene_symbol,Zmynd19
mouse_strain,C57BL
