parameter_id,HRWLLA_CSD_008_001
gene_symbol,Gja10
parameter_name,Coat - color pattern - back
gene_accession_id,MGI:1339969
mouse_life_stage,Early adult
pvalue,0.8259601
mouse_strain,C57BL
analysis_id,052y576oyf5ma2b
