gene_symbol,Tubb4b
mouse_strain,C57BL
parameter_id,IMPC_EYE_004_001
mouse_life_stage,Early adult
parameter_name,Eyelid morphology
gene_accession_id,MGI:1915472
analysis_id,1cfp338q313n0vd
pvalue,0.2846611
